"tab_code","表章項目","cat01_code","在留資格（在留目的）","cat03_code","国籍","time_code","時間軸（年次）","unit","value"
"101","人数","1010","総数","125","スリランカ","2009000000","2009年","人","8973"
"101","人数","1010","総数","125","スリランカ","2008000000","2008年","人","8799"
"101","人数","1010","総数","125","スリランカ","2007000000","2007年","人","8691"
"101","人数","1010","総数","125","スリランカ","2006000000","2006年","人","8855"
"101","人数","1010","総数","105","中国","2011000000","2011年","人","674879"
"101","人数","1010","総数","105","中国","2010000000","2010年","人","687156"
"101","人数","1010","総数","105","中国","2009000000","2009年","人","680518"
"101","人数","1010","総数","105","中国","2008000000","2008年","人","655377"
"101","人数","1010","総数","105","中国","2007000000","2007年","人","606889"
"101","人数","1010","総数","105","中国","2006000000","2006年","人","560741"
"101","人数","1010","総数","233","キプロス","2011000000","2011年","人","32"
"101","人数","1010","総数","233","キプロス","2010000000","2010年","人","34"
"101","人数","1010","総数","233","キプロス","2009000000","2009年","人","30"
"101","人数","1010","総数","233","キプロス","2008000000","2008年","人","31"
"101","人数","1010","総数","233","キプロス","2007000000","2007年","人","31"
"101","人数","1010","総数","233","キプロス","2006000000","2006年","人","34"
"101","人数","1010","総数","128","東ティモール","2011000000","2011年","人","18"
"101","人数","1010","総数","128","東ティモール","2010000000","2010年","人","19"
"101","人数","1010","総数","128","東ティモール","2009000000","2009年","人","12"
"101","人数","1010","総数","128","東ティモール","2008000000","2008年","人","8"
"101","人数","1010","総数","128","東ティモール","2007000000","2007年","人","9"
"101","人数","1010","総数","128","東ティモール","2006000000","2006年","人","10"
"101","人数","1010","総数","123","インド","2011000000","2011年","人","21501"
"101","人数","1010","総数","123","インド","2010000000","2010年","人","22497"
"101","人数","1010","総数","123","インド","2009000000","2009年","人","22858"
"101","人数","1010","総数","123","インド","2008000000","2008年","人","22335"
"101","人数","1010","総数","123","インド","2007000000","2007年","人","20589"
"101","人数","1010","総数","123","インド","2006000000","2006年","人","18906"
"101","人数","1010","総数","118","インドネシア","2011000000","2011年","人","24660"
"101","人数","1010","総数","118","インドネシア","2010000000","2010年","人","24895"
"101","人数","1010","総数","118","インドネシア","2009000000","2009年","人","25546"
"101","人数","1010","総数","118","インドネシア","2008000000","2008年","人","27250"
"101","人数","1010","総数","118","インドネシア","2007000000","2007年","人","25620"
"101","人数","1010","総数","118","インドネシア","2006000000","2006年","人","24858"
"101","人数","1010","総数","133","イラン","2011000000","2011年","人","4725"
"101","人数","1010","総数","133","イラン","2010000000","2010年","人","4841"
"101","人数","1010","総数","133","イラン","2009000000","2009年","人","5018"
"101","人数","1010","総数","133","イラン","2008000000","2008年","人","5059"
"101","人数","1010","総数","133","イラン","2007000000","2007年","人","5165"
"101","人数","1010","総数","133","イラン","2006000000","2006年","人","5198"
"101","人数","1010","総数","134","イラク","2011000000","2011年","人","95"
"101","人数","1010","総数","134","イラク","2010000000","2010年","人","94"
"101","人数","1010","総数","134","イラク","2009000000","2009年","人","87"
"101","人数","1010","総数","134","イラク","2008000000","2008年","人","109"
"101","人数","1010","総数","134","イラク","2007000000","2007年","人","101"
"101","人数","1010","総数","134","イラク","2006000000","2006年","人","88"
"101","人数","1010","総数","143","イスラエル","2011000000","2011年","人","612"
"101","人数","1010","総数","143","イスラエル","2010000000","2010年","人","648"
"101","人数","1010","総数","143","イスラエル","2009000000","2009年","人","713"
"101","人数","1010","総数","143","イスラエル","2008000000","2008年","人","728"
"101","人数","1010","総数","143","イスラエル","2007000000","2007年","人","749"
"101","人数","1010","総数","143","イスラエル","2006000000","2006年","人","809"
"101","人数","1010","総数","144","ヨルダン","2011000000","2011年","人","174"
"101","人数","1010","総数","144","ヨルダン","2010000000","2010年","人","183"
"101","人数","1010","総数","144","ヨルダン","2009000000","2009年","人","191"
"101","人数","1010","総数","144","ヨルダン","2008000000","2008年","人","176"
"101","人数","1010","総数","144","ヨルダン","2007000000","2007年","人","170"
"101","人数","1010","総数","144","ヨルダン","2006000000","2006年","人","189"
"101","人数","1010","総数","901","韓国・朝鮮","2011000000","2011年","人","545401"
"101","人数","1010","総数","901","韓国・朝鮮","2010000000","2010年","人","565989"
"101","人数","1010","総数","901","韓国・朝鮮","2009000000","2009年","人","578495"
"101","人数","1010","総数","901","韓国・朝鮮","2008000000","2008年","人","589239"
"101","人数","1010","総数","901","韓国・朝鮮","2007000000","2007年","人","593489"
"101","人数","1010","総数","901","韓国・朝鮮","2006000000","2006年","人","598219"
"101","人数","1010","総数","138","クウェート","2011000000","2011年","人","32"
"101","人数","1010","総数","138","クウェート","2010000000","2010年","人","31"
"101","人数","1010","総数","138","クウェート","2009000000","2009年","人","34"
"101","人数","1010","総数","138","クウェート","2008000000","2008年","人","32"
"101","人数","1010","総数","138","クウェート","2007000000","2007年","人","25"
"101","人数","1010","総数","138","クウェート","2006000000","2006年","人","31"
"101","人数","1010","総数","121","ラオス","2011000000","2011年","人","2584"
"101","人数","1010","総数","121","ラオス","2010000000","2010年","人","2639"
"101","人数","1010","総数","121","ラオス","2009000000","2009年","人","2681"
"101","人数","1010","総数","121","ラオス","2008000000","2008年","人","2630"
"101","人数","1010","総数","121","ラオス","2007000000","2007年","人","2573"
"101","人数","1010","総数","121","ラオス","2006000000","2006年","人","2478"
"101","人数","1010","総数","146","レバノン","2011000000","2011年","人","88"
"101","人数","1010","総数","146","レバノン","2010000000","2010年","人","96"
"101","人数","1010","総数","146","レバノン","2009000000","2009年","人","103"
"101","人数","1010","総数","146","レバノン","2008000000","2008年","人","97"
"101","人数","1010","総数","146","レバノン","2007000000","2007年","人","98"
"101","人数","1010","総数","146","レバノン","2006000000","2006年","人","79"
"101","人数","1010","総数","113","マレーシア","2011000000","2011年","人","8136"
"101","人数","1010","総数","113","マレーシア","2010000000","2010年","人","8364"
"101","人数","1010","総数","113","マレーシア","2009000000","2009年","人","8344"
"101","人数","1010","総数","113","マレーシア","2008000000","2008年","人","8291"
"101","人数","1010","総数","113","マレーシア","2007000000","2007年","人","7951"
"101","人数","1010","総数","113","マレーシア","2006000000","2006年","人","7902"
"101","人数","1010","総数","107","モンゴル","2011000000","2011年","人","4774"
"101","人数","1010","総数","107","モンゴル","2010000000","2010年","人","4949"
"101","人数","1010","総数","107","モンゴル","2009000000","2009年","人","4917"
"101","人数","1010","総数","107","モンゴル","2008000000","2008年","人","4753"
"101","人数","1010","総数","107","モンゴル","2007000000","2007年","人","4327"
"101","人数","1010","総数","107","モンゴル","2006000000","2006年","人","4159"
"101","人数","1010","総数","141","オマーン","2011000000","2011年","人","22"
"101","人数","1010","総数","141","オマーン","2010000000","2010年","人","22"
"101","人数","1010","総数","141","オマーン","2009000000","2009年","人","21"
"101","人数","1010","総数","141","オマーン","2008000000","2008年","人","27"
"101","人数","1010","総数","141","オマーン","2007000000","2007年","人","27"
"101","人数","1010","総数","141","オマーン","2006000000","2006年","人","28"
"101","人数","1010","総数","126","モルディブ","2011000000","2011年","人","43"
"101","人数","1010","総数","126","モルディブ","2010000000","2010年","人","42"
"101","人数","1010","総数","126","モルディブ","2009000000","2009年","人","42"
"101","人数","1010","総数","126","モルディブ","2008000000","2008年","人","38"
"101","人数","1010","総数","126","モルディブ","2007000000","2007年","人","34"
"101","人数","1010","総数","126","モルディブ","2006000000","2006年","人","30"
"101","人数","1010","総数","131","ネパール","2011000000","2011年","人","20383"
"101","人数","1010","総数","131","ネパール","2010000000","2010年","人","17525"
"101","人数","1010","総数","131","ネパール","2009000000","2009年","人","15255"
"101","人数","1010","総数","131","ネパール","2008000000","2008年","人","12286"
"101","人数","1010","総数","131","ネパール","2007000000","2007年","人","9384"
"101","人数","1010","総数","131","ネパール","2006000000","2006年","人","7844"
"101","人数","1010","総数","124","パキスタン","2011000000","2011年","人","10849"
"101","人数","1010","総数","124","パキスタン","2010000000","2010年","人","10299"
"101","人数","1010","総数","124","パキスタン","2009000000","2009年","人","10295"
"101","人数","1010","総数","124","パキスタン","2008000000","2008年","人","9856"
"101","人数","1010","総数","124","パキスタン","2007000000","2007年","人","9332"
"101","人数","1010","総数","124","パキスタン","2006000000","2006年","人","9086"
"101","人数","1010","総数","117","フィリピン","2011000000","2011年","人","209376"
"101","人数","1010","総数","117","フィリピン","2010000000","2010年","人","210181"
"101","人数","1010","総数","117","フィリピン","2009000000","2009年","人","211716"
"101","人数","1010","総数","117","フィリピン","2008000000","2008年","人","210617"
"101","人数","1010","総数","117","フィリピン","2007000000","2007年","人","202592"
"101","人数","1010","総数","117","フィリピン","2006000000","2006年","人","193488"
"101","人数","1010","総数","140","カタール","2011000000","2011年","人","44"
"101","人数","1010","総数","140","カタール","2010000000","2010年","人","14"
"101","人数","1010","総数","140","カタール","2009000000","2009年","人","14"
"101","人数","1010","総数","140","カタール","2008000000","2008年","人","22"
"101","人数","1010","総数","140","カタール","2007000000","2007年","人","16"
"101","人数","1010","総数","140","カタール","2006000000","2006年","人","30"
"101","人数","1010","総数","137","サウジアラビア","2011000000","2011年","人","731"
"101","人数","1010","総数","137","サウジアラビア","2010000000","2010年","人","668"
"101","人数","1010","総数","137","サウジアラビア","2009000000","2009年","人","643"
"101","人数","1010","総数","137","サウジアラビア","2008000000","2008年","人","510"
"101","人数","1010","総数","137","サウジアラビア","2007000000","2007年","人","477"
"101","人数","1010","総数","137","サウジアラビア","2006000000","2006年","人","364"
"101","人数","1010","総数","145","シリア","2011000000","2011年","人","208"
"101","人数","1010","総数","145","シリア","2010000000","2010年","人","188"
"101","人数","1010","総数","145","シリア","2009000000","2009年","人","177"
"101","人数","1010","総数","145","シリア","2008000000","2008年","人","167"
"101","人数","1010","総数","145","シリア","2007000000","2007年","人","171"
"101","人数","1010","総数","145","シリア","2006000000","2006年","人","164"
"101","人数","1010","総数","112","シンガポール","2011000000","2011年","人","2440"
"101","人数","1010","総数","112","シンガポール","2010000000","2010年","人","2512"
"101","人数","1010","総数","112","シンガポール","2009000000","2009年","人","2560"
"101","人数","1010","総数","112","シンガポール","2008000000","2008年","人","2604"
"101","人数","1010","総数","112","シンガポール","2007000000","2007年","人","2481"
"101","人数","1010","総数","112","シンガポール","2006000000","2006年","人","2392"
"101","人数","1010","総数","111","タイ","2011000000","2011年","人","42750"
"101","人数","1010","総数","111","タイ","2010000000","2010年","人","41279"
"101","人数","1010","総数","111","タイ","2009000000","2009年","人","42686"
"101","人数","1010","総数","111","タイ","2008000000","2008年","人","42609"
"101","人数","1010","総数","111","タイ","2007000000","2007年","人","41384"
"101","人数","1010","総数","111","タイ","2006000000","2006年","人","39618"
"101","人数","1010","総数","234","トルコ","2011000000","2011年","人","2613"
"101","人数","1010","総数","234","トルコ","2010000000","2010年","人","2547"
"101","人数","1010","総数","234","トルコ","2009000000","2009年","人","2452"
"101","人数","1010","総数","234","トルコ","2008000000","2008年","人","2462"
"101","人数","1010","総数","234","トルコ","2007000000","2007年","人","2366"
"101","人数","1010","総数","234","トルコ","2006000000","2006年","人","2264"
"101","人数","1010","総数","110","ベトナム","2011000000","2011年","人","44690"
"101","人数","1010","総数","110","ベトナム","2010000000","2010年","人","41781"
"101","人数","1010","総数","110","ベトナム","2009000000","2009年","人","41000"
"101","人数","1010","総数","110","ベトナム","2008000000","2008年","人","41136"
"101","人数","1010","総数","110","ベトナム","2007000000","2007年","人","36860"
"101","人数","1010","総数","110","ベトナム","2006000000","2006年","人","32485"
"101","人数","1010","総数","149","イエメン","2011000000","2011年","人","48"
"101","人数","1010","総数","149","イエメン","2010000000","2010年","人","52"
"101","人数","1010","総数","149","イエメン","2009000000","2009年","人","50"
"101","人数","1010","総数","149","イエメン","2008000000","2008年","人","43"
"101","人数","1010","総数","149","イエメン","2007000000","2007年","人","38"
"101","人数","1010","総数","149","イエメン","2006000000","2006年","人","36"
"101","人数","1010","総数","902","パレスチナ","2011000000","2011年","人","63"
"101","人数","1010","総数","902","パレスチナ","2010000000","2010年","人","62"
"101","人数","1010","総数","902","パレスチナ","2009000000","2009年","人","55"
"101","人数","1010","総数","902","パレスチナ","2008000000","2008年","人","49"
"101","人数","1010","総数","902","パレスチナ","2007000000","2007年","人","40"
"101","人数","1010","総数","200","ヨーロッパ","2011000000","2011年","人","58427"
"101","人数","1010","総数","200","ヨーロッパ","2010000000","2010年","人","60975"
"101","人数","1010","総数","200","ヨーロッパ","2009000000","2009年","人","61721"
"101","人数","1010","総数","200","ヨーロッパ","2008000000","2008年","人","61875"
"101","人数","1010","総数","200","ヨーロッパ","2007000000","2007年","人","60723"
"101","人数","1010","総数","200","ヨーロッパ","2006000000","2006年","人","59995"
"101","人数","1010","総数","229","アルバニア","2011000000","2011年","人","62"
"101","人数","1010","総数","229","アルバニア","2010000000","2010年","人","66"
"101","人数","1010","総数","229","アルバニア","2009000000","2009年","人","65"
"101","人数","1010","総数","229","アルバニア","2008000000","2008年","人","66"
"101","人数","1010","総数","229","アルバニア","2007000000","2007年","人","55"
"101","人数","1010","総数","229","アルバニア","2006000000","2006年","人","55"
"101","人数","1010","総数","225","オーストリア","2011000000","2011年","人","537"
"101","人数","1010","総数","225","オーストリア","2010000000","2010年","人","569"
"101","人数","1010","総数","225","オーストリア","2009000000","2009年","人","560"
"101","人数","1010","総数","225","オーストリア","2008000000","2008年","人","590"
"101","人数","1010","総数","225","オーストリア","2007000000","2007年","人","572"
"101","人数","1010","総数","225","オーストリア","2006000000","2006年","人","551"
"101","人数","1010","総数","208","ベルギー","2011000000","2011年","人","689"
"101","人数","1010","総数","208","ベルギー","2010000000","2010年","人","697"
"101","人数","1010","総数","208","ベルギー","2009000000","2009年","人","685"
"101","人数","1010","総数","208","ベルギー","2008000000","2008年","人","715"
"101","人数","1010","総数","208","ベルギー","2007000000","2007年","人","698"
"101","人数","1010","総数","208","ベルギー","2006000000","2006年","人","692"
"101","人数","1010","総数","232","ブルガリア","2011000000","2011年","人","396"
"101","人数","1010","総数","232","ブルガリア","2010000000","2010年","人","437"
"101","人数","1010","総数","232","ブルガリア","2009000000","2009年","人","440"
"101","人数","1010","総数","232","ブルガリア","2008000000","2008年","人","447"
"101","人数","1010","総数","232","ブルガリア","2007000000","2007年","人","459"
"101","人数","1010","総数","232","ブルガリア","2006000000","2006年","人","448"
"101","人数","1010","総数","239","ベラルーシ","2011000000","2011年","人","290"
"101","人数","1010","総数","239","ベラルーシ","2010000000","2010年","人","285"
"101","人数","1010","総数","239","ベラルーシ","2009000000","2009年","人","295"
"101","人数","1010","総数","239","ベラルーシ","2008000000","2008年","人","290"
"101","人数","1010","総数","239","ベラルーシ","2007000000","2007年","人","266"
"101","人数","1010","総数","239","ベラルーシ","2006000000","2006年","人","273"
"101","人数","1010","総数","241","クロアチア","2011000000","2011年","人","107"
"101","人数","1010","総数","241","クロアチア","2010000000","2010年","人","111"
"101","人数","1010","総数","241","クロアチア","2009000000","2009年","人","107"
"101","人数","1010","総数","241","クロアチア","2008000000","2008年","人","103"
"101","人数","1010","総数","241","クロアチア","2007000000","2007年","人","96"
"101","人数","1010","総数","241","クロアチア","2006000000","2006年","人","83"
"101","人数","1010","総数","245","チェコ","2011000000","2011年","人","263"
"101","人数","1010","総数","245","チェコ","2010000000","2010年","人","264"
"101","人数","1010","総数","245","チェコ","2009000000","2009年","人","243"
"101","人数","1010","総数","245","チェコ","2008000000","2008年","人","233"
"101","人数","1010","総数","245","チェコ","2007000000","2007年","人","248"
"101","人数","1010","総数","245","チェコ","2006000000","2006年","人","249"
"101","人数","1010","総数","204","デンマーク","2011000000","2011年","人","496"
"101","人数","1010","総数","204","デンマーク","2010000000","2010年","人","499"
"101","人数","1010","総数","204","デンマーク","2009000000","2009年","人","557"
"101","人数","1010","総数","204","デンマーク","2008000000","2008年","人","526"
"101","人数","1010","総数","204","デンマーク","2007000000","2007年","人","557"
"101","人数","1010","総数","204","デンマーク","2006000000","2006年","人","554"
"101","人数","1010","総数","235","エストニア","2011000000","2011年","人","89"
"101","人数","1010","総数","235","エストニア","2010000000","2010年","人","81"
"101","人数","1010","総数","235","エストニア","2009000000","2009年","人","84"
"101","人数","1010","総数","235","エストニア","2008000000","2008年","人","81"
"101","人数","1010","総数","235","エストニア","2007000000","2007年","人","77"
"101","人数","1010","総数","235","エストニア","2006000000","2006年","人","83"
"101","人数","1010","総数","222","フィンランド","2011000000","2011年","人","604"
"101","人数","1010","総数","222","フィンランド","2010000000","2010年","人","599"
"101","人数","1010","総数","222","フィンランド","2009000000","2009年","人","616"
"101","人数","1010","総数","222","フィンランド","2008000000","2008年","人","635"
"101","人数","1010","総数","222","フィンランド","2007000000","2007年","人","586"
"101","人数","1010","総数","222","フィンランド","2006000000","2006年","人","595"
"101","人数","1010","総数","210","フランス","2011000000","2011年","人","8423"
"101","人数","1010","総数","210","フランス","2010000000","2010年","人","9060"
"101","人数","1010","総数","210","フランス","2009000000","2009年","人","9193"
"101","人数","1010","総数","210","フランス","2008000000","2008年","人","9347"
"101","人数","1010","総数","210","フランス","2007000000","2007年","人","8780"
"101","人数","1010","総数","210","フランス","2006000000","2006年","人","8146"
"101","人数","1010","総数","213","ドイツ","2011000000","2011年","人","5303"
"101","人数","1010","総数","213","ドイツ","2010000000","2010年","人","5971"
"101","人数","1010","総数","213","ドイツ","2009000000","2009年","人","6006"
"101","人数","1010","総数","213","ドイツ","2008000000","2008年","人","6018"
"101","人数","1010","総数","213","ドイツ","2007000000","2007年","人","5915"
"101","人数","1010","総数","213","ドイツ","2006000000","2006年","人","5705"
"101","人数","1010","総数","230","ギリシャ","2011000000","2011年","人","288"
"101","人数","1010","総数","230","ギリシャ","2010000000","2010年","人","286"
"101","人数","1010","総数","230","ギリシャ","2009000000","2009年","人","285"
"101","人数","1010","総数","230","ギリシャ","2008000000","2008年","人","310"
"101","人数","1010","総数","230","ギリシャ","2007000000","2007年","人","315"
"101","人数","1010","総数","230","ギリシャ","2006000000","2006年","人","317"
"101","人数","1010","総数","227","ハンガリー","2011000000","2011年","人","463"
"101","人数","1010","総数","227","ハンガリー","2010000000","2010年","人","464"
"101","人数","1010","総数","227","ハンガリー","2009000000","2009年","人","443"
"101","人数","1010","総数","227","ハンガリー","2008000000","2008年","人","449"
"101","人数","1010","総数","227","ハンガリー","2007000000","2007年","人","466"
"101","人数","1010","総数","227","ハンガリー","2006000000","2006年","人","471"
"101","人数","1010","総数","201","アイスランド","2011000000","2011年","人","61"
"101","人数","1010","総数","201","アイスランド","2010000000","2010年","人","70"
"101","人数","1010","総数","201","アイスランド","2009000000","2009年","人","50"
"101","人数","1010","総数","201","アイスランド","2008000000","2008年","人","51"
"101","人数","1010","総数","201","アイスランド","2007000000","2007年","人","49"
"101","人数","1010","総数","201","アイスランド","2006000000","2006年","人","46"
"101","人数","1010","総数","206","アイルランド","2011000000","2011年","人","1065"
"101","人数","1010","総数","206","アイルランド","2010000000","2010年","人","1061"
"101","人数","1010","総数","206","アイルランド","2009000000","2009年","人","1059"
"101","人数","1010","総数","206","アイルランド","2008000000","2008年","人","1060"
"101","人数","1010","総数","206","アイルランド","2007000000","2007年","人","1111"
"101","人数","1010","総数","206","アイルランド","2006000000","2006年","人","1102"
"101","人数","1010","総数","220","イタリア","2011000000","2011年","人","2642"
"101","人数","1010","総数","220","イタリア","2010000000","2010年","人","2731"
"101","人数","1010","総数","220","イタリア","2009000000","2009年","人","2668"
"101","人数","1010","総数","220","イタリア","2008000000","2008年","人","2543"
"101","人数","1010","総数","220","イタリア","2007000000","2007年","人","2373"
"101","人数","1010","総数","220","イタリア","2006000000","2006年","人","2268"
"101","人数","1010","総数","154","キルギス","2011000000","2011年","人","210"
"101","人数","1010","総数","154","キルギス","2010000000","2010年","人","220"
"101","人数","1010","総数","154","キルギス","2009000000","2009年","人","206"
"101","人数","1010","総数","154","キルギス","2008000000","2008年","人","204"
"101","人数","1010","総数","154","キルギス","2007000000","2007年","人","156"
"101","人数","1010","総数","154","キルギス","2006000000","2006年","人","120"
"101","人数","1010","総数","153","カザフスタン","2011000000","2011年","人","203"
"101","人数","1010","総数","153","カザフスタン","2010000000","2010年","人","208"
"101","人数","1010","総数","153","カザフスタン","2009000000","2009年","人","196"
"101","人数","1010","総数","153","カザフスタン","2008000000","2008年","人","193"
"101","人数","1010","総数","153","カザフスタン","2007000000","2007年","人","168"
"101","人数","1010","総数","153","カザフスタン","2006000000","2006年","人","142"
"101","人数","1010","総数","291","リヒテンシュタイン","2011000000","2011年","人","4"
"101","人数","1010","総数","291","リヒテンシュタイン","2010000000","2010年","人","5"
"101","人数","1010","総数","291","リヒテンシュタイン","2009000000","2009年","人","8"
"101","人数","1010","総数","291","リヒテンシュタイン","2008000000","2008年","人","9"
"101","人数","1010","総数","291","リヒテンシュタイン","2007000000","2007年","人","6"
"101","人数","1010","総数","291","リヒテンシュタイン","2006000000","2006年","人","5"
"101","人数","1010","総数","209","ルクセンブルク","2011000000","2011年","人","29"
"101","人数","1010","総数","209","ルクセンブルク","2010000000","2010年","人","33"
"101","人数","1010","総数","209","ルクセンブルク","2009000000","2009年","人","26"
"101","人数","1010","総数","209","ルクセンブルク","2008000000","2008年","人","25"
"101","人数","1010","総数","209","ルクセンブルク","2007000000","2007年","人","23"
"101","人数","1010","総数","209","ルクセンブルク","2006000000","2006年","人","22"
"101","人数","1010","総数","236","ラトビア","2011000000","2011年","人","73"
"101","人数","1010","総数","236","ラトビア","2010000000","2010年","人","64"
"101","人数","1010","総数","236","ラトビア","2009000000","2009年","人","69"
"101","人数","1010","総数","236","ラトビア","2008000000","2008年","人","56"
"101","人数","1010","総数","236","ラトビア","2007000000","2007年","人","54"
"101","人数","1010","総数","236","ラトビア","2006000000","2006年","人","47"
"101","人数","1010","総数","237","リトアニア","2011000000","2011年","人","174"
"101","人数","1010","総数","237","リトアニア","2010000000","2010年","人","171"
"101","人数","1010","総数","237","リトアニア","2009000000","2009年","人","178"
"101","人数","1010","総数","237","リトアニア","2008000000","2008年","人","166"
"101","人数","1010","総数","237","リトアニア","2007000000","2007年","人","173"
"101","人数","1010","総数","237","リトアニア","2006000000","2006年","人","165"
"101","人数","1010","総数","221","マルタ","2011000000","2011年","人","24"
"101","人数","1010","総数","221","マルタ","2010000000","2010年","人","33"
"101","人数","1010","総数","221","マルタ","2009000000","2009年","人","32"
"101","人数","1010","総数","221","マルタ","2008000000","2008年","人","29"
"101","人数","1010","総数","221","マルタ","2007000000","2007年","人","27"
"101","人数","1010","総数","221","マルタ","2006000000","2006年","人","28"
"101","人数","1010","総数","240","モルドバ","2011000000","2011年","人","153"
"101","人数","1010","総数","240","モルドバ","2010000000","2010年","人","145"
"101","人数","1010","総数","240","モルドバ","2009000000","2009年","人","142"
"101","人数","1010","総数","240","モルドバ","2008000000","2008年","人","137"
"101","人数","1010","総数","240","モルドバ","2007000000","2007年","人","138"
"101","人数","1010","総数","240","モルドバ","2006000000","2006年","人","145"
"101","人数","1010","総数","244","マケドニア","2011000000","2011年","人","29"
"101","人数","1010","総数","244","マケドニア","2010000000","2010年","人","31"
"101","人数","1010","総数","244","マケドニア","2009000000","2009年","人","29"
"101","人数","1010","総数","244","マケドニア","2008000000","2008年","人","33"
"101","人数","1010","総数","244","マケドニア","2007000000","2007年","人","30"
"101","人数","1010","総数","244","マケドニア","2006000000","2006年","人","30"
"101","人数","1010","総数","207","オランダ","2011000000","2011年","人","1097"
"101","人数","1010","総数","207","オランダ","2010000000","2010年","人","1099"
